Date;Heures;Consommation;Prevision J-1;Prevision J;Fioul;Charbon;Gaz;Nucleaire;Eolien;Solaire;Hydraulique;Pompage;Enr thermique;Ech. physiques
01/01/2013;00:00;61194;60300;60200;482;0;3543;51412;4390;0;7333;-3;717;-6680
01/01/2013;01:00;57877;57500;56700;472;-32;3231;50070;4045;0;7136;-932;761;-6876
01/01/2013;02:00;57243;57600;57200;472;-31;3230;50247;3906;0;6385;-979;768;-6755
01/01/2013;03:00;54376;54900;53400;472;-30;3224;48668;3653;0;5705;-1542;766;-6541
01/01/2013;04:00;50796;51800;49900;471;-31;3226;46219;3577;0;5624;-2781;739;-6248
01/01/2013;05:00;49040;49900;48100;471;-30;3221;44438;3504;0;5559;-3132;739;-5730
01/01/2013;06:00;48633;49300;47900;467;-29;3212;43968;3356;0;5614;-3122;739;-5570
01/01/2013;07:00;48738;49000;47900;465;-32;3215;43835;3358;0;5538;-3111;730;-5260
01/01/2013;08:00;48781;49300;48100;468;-32;3242;43449;3323;0;5651;-3134;729;-4916
01/01/2013;09:00;48313;48800;47400;472;-33;3247;43994;3033;4;5746;-3132;719;-5740
01/01/2013;10:00;50170;50700;49300;472;-34;3255;46131;2855;141;6441;-2377;720;-7435
01/01/2013;11:00;52015;53200;52200;472;-32;3253;48085;2560;342;6534;-1529;717;-8388
01/01/2013;12:00;54067;55200;54700;472;-30;3239;49096;2342;532;6633;-630;716;-8304
01/01/2013;13:00;56972;58100;57400;472;-30;3252;49689;2436;611;7909;-630;709;-7448
01/01/2013;14:00;54210;55000;54000;472;-31;3226;49937;2177;571;6236;-772;715;-8321
01/01/2013;15:00;52313;52600;52100;473;-30;3221;50612;1915;441;6058;-1590;723;-9511
01/01/2013;16:00;51555;51700;51200;472;-32;3221;51639;1606;244;5925;-2390;725;-9857
01/01/2013;17:00;52700;53000;52300;473;-34;3235;52325;1338;31;6264;-1747;721;-9906
01/01/2013;18:00;58621;58600;57700;471;-48;3253;53078;1419;0;8997;-10;707;-9247
01/01/2013;19:00;61058;61000;59800;467;-46;3264;53985;1639;0;10187;-11;707;-9134
01/01/2013;20:00;61610;61400;60400;465;-59;3263;53931;1856;0;9893;-10;723;-8453
01/01/2013;21:00;59977;60300;59200;471;-61;3272;54029;1808;0;8167;-10;719;-8417
01/01/2013;22:00;57722;57900;57200;471;-57;3271;53982;1872;0;6922;-422;723;-9040
01/01/2013;23:00;61449;61600;61000;472;-69;3269;54529;1839;0;8222;-269;719;-7264
02/01/2013;00:00;60074;58900;59500;470;-70;3276;53851;1832;0;6906;-500;729;-6422
02/01/2013;01:00;55985;55300;55300;471;-70;3288;53038;1668;0;6642;-2307;727;-7472
02/01/2013;02:00;55736;55900;55900;471;-78;3284;52741;1741;0;6303;-2447;722;-7002
02/01/2013;03:00;53626;53300;53000;471;-83;3272;51762;1759;0;6024;-2780;722;-7521
02/01/2013;04:00;51940;50900;51300;470;-85;3240;51511;1585;0;6083;-3143;721;-8443
02/01/2013;05:00;52467;52200;52400;465;-83;3268;52282;1462;0;6222;-3044;720;-8825
02/01/2013;06:00;55817;55200;55700;466;62;3283;54285;1421;0;6341;-2213;713;-8541
02/01/2013;07:00;60786;59800;60800;468;309;3270;56546;1298;0;7158;-715;704;-8253
02/01/2013;08:00;65500;65100;65600;471;552;3259;57195;1296;0;9010;-28;703;-6959
02/01/2013;09:00;67682;67900;67400;471;988;3294;57036;1214;45;10789;-27;701;-6831
02/01/2013;10:00;69360;70100;69000;471;1232;3267;57164;1040;385;10799;-27;704;-5677
02/01/2013;11:00;69823;70800;69700;472;1419;3222;57184;998;805;10210;-53;704;-5141
02/01/2013;12:00;70726;72700;71100;471;1332;3285;57226;916;1125;10461;-53;702;-4742
02/01/2013;13:00;71065;73100;71600;471;1333;3267;57194;972;1296;11189;-5;699;-5354
02/01/2013;14:00;68981;71100;68800;471;1378;3239;57235;999;1205;9029;-7;713;-5284
02/01/2013;15:00;66745;69100;66700;485;1406;3214;56692;1048;941;7810;-6;708;-5554
02/01/2013;16:00;65314;67900;65700;479;1610;3228;56469;1086;488;7265;-7;714;-6020
02/01/2013;17:00;66221;68300;66800;479;1663;3315;57343;1216;74;8846;-7;708;-7419
02/01/2013;18:00;71924;73300;72600;474;2029;3341;57603;1365;0;13467;-5;713;-7065
02/01/2013;19:00;74504;74500;74500;473;1902;3512;57582;1618;0;13532;-5;707;-4819
02/01/2013;20:00;72250;72100;72300;480;1423;3516;57433;1759;0;11691;-4;702;-4751
02/01/2013;21:00;68012;68600;68700;483;1246;3523;56500;1842;0;9006;-6;701;-5286
02/01/2013;22:00;64478;65700;65600;485;932;3508;55948;2048;0;7453;-212;698;-6383
02/01/2013;23:00;67437;68200;68800;484;1045;3533;56533;2002;0;8863;-56;715;-5685
03/01/2013;00:00;66174;66000;65300;484;1012;3519;55508;2023;0;8675;-65;728;-5710
03/01/2013;01:00;61350;62200;60800;484;909;3258;54688;2143;0;6766;-1554;729;-6074
03/01/2013;02:00;60507;62300;60400;484;713;3267;54897;2034;0;6503;-2138;727;-5983
03/01/2013;03:00;58199;59300;57300;483;755;3284;54201;1939;0;6129;-2964;735;-6365
03/01/2013;04:00;55804;56600;55200;484;764;3285;52122;2045;0;6094;-2992;730;-6729
03/01/2013;05:00;55932;57000;55300;483;819;3292;51983;2004;0;6107;-2654;728;-6833
03/01/2013;06:00;59021;59900;58700;483;1021;3296;54539;1937;0;6132;-2624;720;-6484
03/01/2013;07:00;64130;64500;64000;482;1442;3460;55965;1960;0;7274;-1450;722;-5727
03/01/2013;08:00;68769;69900;68500;483;1828;3469;56320;1977;0;9049;-26;717;-5049
03/01/2013;09:00;70261;71800;69800;484;2062;3500;56187;1737;61;10453;-5;711;-4932
03/01/2013;10:00;71499;73600;70600;482;2393;3499;56255;1634;347;11458;-5;719;-5285
03/01/2013;11:00;71873;74400;71200;481;2609;3558;55941;1562;672;11030;-33;718;-4667
03/01/2013;12:00;72740;75400;72900;480;2707;3571;55718;1528;896;11863;-57;741;-4709
03/01/2013;13:00;72579;75200;73100;481;2673;3503;55608;1441;993;12625;-8;748;-5488
03/01/2013;14:00;70738;72500;70500;479;2654;3497;55595;1349;943;11241;-4;754;-5773
03/01/2013;15:00;68765;69900;67900;480;2634;3481;55415;1248;756;9570;-5;753;-5569
03/01/2013;16:00;67282;68400;66400;479;2533;3517;55365;1212;394;8677;-5;753;-5646
03/01/2013;17:00;67834;69200;67500;480;2651;3531;55640;1273;59;9123;-6;750;-5670
03/01/2013;18:00;72429;73300;72000;481;2923;3571;55926;1425;0;12016;-4;736;-4649
03/01/2013;19:00;74649;74500;73500;482;3029;3613;55991;1413;0;13069;-4;744;-3690
03/01/2013;20:00;71765;72000;71000;482;2934;3571;55805;1394;0;11553;-5;750;-4720
03/01/2013;21:00;67414;68600;67700;482;2779;3586;55723;1327;0;8698;-5;755;-5934
03/01/2013;22:00;63613;65000;64100;481;2152;3552;54831;1261;0;7273;-859;755;-5834
03/01/2013;23:00;66334;68100;67200;479;2056;3515;55712;1234;0;8519;-15;757;-5926
04/01/2013;00:00;64948;65100;64100;480;2026;3534;55343;1260;0;7531;-373;761;-5615
04/01/2013;01:00;60196;59600;60000;480;1545;3315;54841;1205;0;6896;-2853;759;-5993
04/01/2013;02:00;59062;59800;59000;480;959;3302;54903;1104;0;6354;-2801;767;-6008
04/01/2013;03:00;56809;56700;56000;479;865;3282;53793;1067;0;5846;-3134;771;-6161
04/01/2013;04:00;54476;54500;53900;480;899;3326;51297;998;0;5978;-3142;775;-6136
04/01/2013;05:00;54507;54400;54200;480;906;3326;51225;1052;0;5882;-3125;772;-6013
04/01/2013;06:00;57502;57000;57200;478;1089;3336;53880;1118;0;6476;-2740;755;-6891
04/01/2013;07:00;62345;61500;62200;484;1388;3290;55362;1137;0;6988;-1160;749;-5894
04/01/2013;08:00;67186;66400;66800;483;1527;3344;56367;1213;0;9011;-23;742;-5481
04/01/2013;09:00;68785;68500;68100;482;1757;3304;56731;1149;27;10067;-4;738;-5467
04/01/2013;10:00;70304;69900;69400;473;2075;3292;56773;1040;178;10942;-4;732;-5198
04/01/2013;11:00;70618;70300;70100;477;2065;3241;57106;985;412;10717;-4;739;-5124
04/01/2013;12:00;71688;70700;71700;473;2065;3280;57262;981;626;11536;-59;756;-5233
