keV           meter
1.000000e-04  0.000000e+00  
1.000000e-03  0.000000e+00  
1.000000e-03  0.000000e+00  
1.000000e-02  0.000000e+00  
1.000000e-02  0.000000e+00  
2.300000e-02  0.000000e+00  
2.300000e-02  0.000000e+00  
5.000000e-02  0.000000e+00  
5.000000e-02  0.000000e+00  
7.600000e-02  0.000000e+00  
7.600000e-02  0.000000e+00  
1.150000e-01  0.000000e+00  
1.150000e-01  0.000000e+00  
1.700000e-01  0.000000e+00  
1.700000e-01  0.000000e+00  
2.550000e-01  0.000000e+00  
2.550000e-01  0.000000e+00  
3.800000e-01  0.000000e+00  
3.800000e-01  0.000000e+00  
5.500000e-01  0.000000e+00  
5.500000e-01  0.000000e+00  
8.400000e-01  0.000000e+00  
8.400000e-01  0.000000e+00  
1.275000e+00  0.000000e+00  
1.275000e+00  0.000000e+00  
1.900000e+00  0.000000e+00  
1.900000e+00  0.000000e+00  
2.800000e+00  0.000000e+00  
2.800000e+00  0.000000e+00  
4.250000e+00  0.000000e+00  
4.250000e+00  0.000000e+00  
6.300000e+00  0.000000e+00  
6.300000e+00  0.000000e+00  
9.200000e+00  0.000000e+00  
9.200000e+00  0.000000e+00  
1.350000e+01  0.000000e+00  
1.350000e+01  0.000000e+00  
2.100000e+01  0.000000e+00  
2.100000e+01  0.000000e+00  
3.000000e+01  0.000000e+00  
3.000000e+01  0.000000e+00  
4.500000e+01  0.000000e+00  
4.500000e+01  0.000000e+00  
6.900000e+01  0.000000e+00  
6.900000e+01  0.000000e+00  
1.000000e+02  0.000000e+00  
1.000000e+02  0.000000e+00  
1.350000e+02  0.000000e+00  
1.350000e+02  0.000000e+00  
1.700000e+02  0.000000e+00  
1.700000e+02  0.000000e+00  
2.200000e+02  0.000000e+00  
2.200000e+02  0.000000e+00  
2.800000e+02  0.000000e+00  
2.800000e+02  0.000000e+00  
3.600000e+02  0.000000e+00  
3.600000e+02  0.000000e+00  
4.500000e+02  0.000000e+00  
4.500000e+02  0.000000e+00  
5.750000e+02  0.000000e+00  
5.750000e+02  0.000000e+00  
7.600000e+02  0.000000e+00  
7.600000e+02  0.000000e+00  
9.600000e+02  0.000000e+00  
9.600000e+02  0.000000e+00  
1.275000e+03  0.000000e+00  
1.275000e+03  0.000000e+00  
1.600000e+03  0.000000e+00  
1.600000e+03  7.254164e-01  
2.000000e+03  7.254164e-01  
2.000000e+03  4.870669e+00  
2.700000e+03  4.870669e+00  
2.700000e+03  8.177070e+00  
3.400000e+03  8.177070e+00  
3.400000e+03  1.249521e+01  
4.500000e+03  1.249521e+01  
4.500000e+03  1.638743e+01  
5.500000e+03  1.638743e+01  
5.500000e+03  2.132857e+01  
7.200000e+03  2.132857e+01  
7.200000e+03  2.766095e+01  
9.200000e+03  2.766095e+01  
9.200000e+03  3.527212e+01  
